Metoda;Krok_Typ;h0;Iteracja;x0_1;x0_2;x_opt_1;x_opt_2;y_opt;f_calls;g_calls;H_calls;Status
SD;Staly 0.25;0.25;85;-1.02235;0.506064;-4.50491e-07;1.08758e-06;1.09877e-12;31;30;0;1
SD;Staly 0.25;0.25;86;-0.559083;-1.11804;5.4494e-07;-1.3156e-06;1.6078e-12;27;26;0;1
SD;Staly 0.25;0.25;87;0.578417;1.83066;-3.87864e-07;9.36386e-07;8.14506e-13;29;28;0;1
SD;Staly 0.25;0.25;88;1.49795;-0.95746;1.53141;-0.858197;0.487433;10001;10000;0;0
SD;Staly 0.25;0.25;89;0.525393;-0.618144;4.12225e-07;-9.952e-07;9.20035e-13;28;27;0;1
SD;Staly 0.25;0.25;90;0.952004;-0.494497;3.95534e-07;-9.54904e-07;8.47039e-13;30;29;0;1
SD;Staly 0.25;0.25;91;-1.77904;-1.70689;-5.03183e-07;1.21479e-06;1.37084e-12;29;28;0;1
SD;Staly 0.25;0.25;92;1.89059;-0.157036;1.38871;-0.880878;0.69998;10001;10000;0;0
SD;Staly 0.25;0.25;93;0.202847;-0.0345356;3.98293e-07;-9.61564e-07;8.58895e-13;24;23;0;1
SD;Staly 0.25;0.25;94;-0.721601;-1.23803;4.95953e-07;-1.19734e-06;1.33173e-12;27;26;0;1
SD;Staly 0.25;0.25;95;1.55356;-0.236317;1.88553;-0.810563;0.456959;10001;10000;0;0
SD;Staly 0.25;0.25;96;0.781751;-0.633152;3.96797e-07;-9.57954e-07;8.52458e-13;29;28;0;1
SD;Staly 0.25;0.25;97;-0.553144;-0.838655;5.79676e-07;-1.39946e-06;1.81931e-12;26;25;0;1
SD;Staly 0.25;0.25;98;-0.120588;-0.574548;3.71058e-07;-8.95813e-07;7.4545e-13;27;26;0;1
SD;Staly 0.25;0.25;99;1.67381;-1.8997;4.69803e-07;-1.1342e-06;1.195e-12;30;29;0;1
SD;Staly 0.25;0.25;100;0.220816;-1.02115;4.90014e-07;-1.183e-06;1.30003e-12;28;27;0;1
SD;Zmienny;0;1;-0.319611;1.92647;-2.62444e-07;2.22723e-07;1.28907e-13;609;19;0;1
SD;Zmienny;0;2;-0.504542;-1.11713;1.56622e-07;-2.56066e-07;7.45251e-14;481;15;0;1
SD;Zmienny;0;3;-1.94182;-1.41463;-9.22314e-08;1.71226e-07;3.05393e-14;353;11;0;1
SD;Zmienny;0;4;1.00188;-0.0873675;1.06454e-07;-1.64659e-07;3.22488e-14;545;17;0;1
SD;Zmienny;0;5;-1.7739;0.137154;-1.74755;0.873775;0.298638;1281;40;0;1
SD;Zmienny;0;6;-0.052814;1.17268;-4.28269e-07;4.74095e-07;3.88555e-13;609;19;0;1
SD;Zmienny;0;7;-0.727136;-0.558241;6.79026e-08;1.5933e-07;4.54267e-14;385;12;0;1
SD;Zmienny;0;8;-1.76264;-1.65504;-3.51512e-07;4.35818e-07;2.83864e-13;609;19;0;1
SD;Zmienny;0;9;1.42055;-1.3403;1.74755;-0.873777;0.298638;993;31;0;1
SD;Zmienny;0;10;-0.609583;-1.94618;2.49122e-07;-3.69492e-07;1.686e-13;545;17;0;1
SD;Zmienny;0;11;-1.79949;0.00847795;-1.74755;0.873774;0.298638;1281;40;0;1
SD;Zmienny;0;12;-0.394064;1.31691;-1.63319e-07;8.01478e-08;4.66804e-14;481;15;0;1
SD;Zmienny;0;13;-1.70066;-1.19943;-1.6003e-07;2.6261e-07;7.81577e-14;545;17;0;1
SD;Zmienny;0;14;0.0427069;-1.15833;4.19368e-07;-4.71607e-07;3.76376e-13;609;19;0;1
SD;Zmienny;0;15;-0.494545;-1.1863;2.21675e-07;-3.58337e-07;1.47251e-13;481;15;0;1
SD;Zmienny;0;16;1.71473;0.128418;1.74755;-0.873775;0.298638;897;28;0;1
SD;Zmienny;0;17;1.23411;1.81914;2.47754e-08;-3.0901e-07;8.90587e-14;641;20;0;1
SD;Zmienny;0;18;0.512957;-1.52608;2.60135e-07;-1.31075e-07;1.18424e-13;481;15;0;1
SD;Zmienny;0;19;0.242073;0.975962;6.97456e-08;3.04735e-07;1.23847e-13;513;16;0;1
SD;Zmienny;0;20;0.162441;-1.04787;7.64526e-08;-5.07955e-07;2.30874e-13;577;18;0;1
SD;Zmienny;0;21;0.853264;0.781966;2.24072e-07;-3.44616e-07;1.41958e-13;481;15;0;1
SD;Zmienny;0;22;0.915426;-0.865609;1.91045e-08;-5.31994e-08;2.54379e-15;321;10;0;1
SD;Zmienny;0;23;-1.47152;-1.29699;-1.74755;0.873775;0.298638;737;23;0;1
SD;Zmienny;0;24;-1.23142;-0.480793;-4.34516e-07;4.22439e-07;3.72506e-13;673;21;0;1
SD;Zmienny;0;25;1.22369;-0.853156;1.74755;-0.873775;0.298638;801;25;0;1
